V1,V2,APP_offtime,CB_DA,CE_DA,NPURP,APP_NAME,NPURP_label,ADDR,Time_interval,Time_interval_label,APP_Name_label,Double_label
121.513322,25.12470038,0,2014/6/16,2014/6/30,民生需求-新建房屋,陽明山瓦斯,4,公館路308巷與301巷口附近至308巷17號旁巷口至奇岩重劃區內(清江國小西北側近三合街2段口附近)(奇岩里),14,3,1,1
121.5498998,25.00154888,0,2014/4/8,2014/6/26,管線單位需求-配合拆遷,台電南區,3,興隆路1段55巷與興隆路1段55巷27弄、興隆路1段83巷口,79,5,2,2
121.5303371,25.11196903,0,2013/11/25,2014/7/31,管線改善,自來水陽明,3,"懷德街北投區懷德街以東,明德路以西以南及東陽街以北等一帶管網改善工程",248,5,3,3
121.6104093,25.07949687,0,2014/6/24,2014/7/9,管線單位需求-建設需求,台灣智慧光網,3,成功路4段323巷口(共14處CCTV引上預埋管)-詳附件,15,3,4,4
121.5946932,25.04712751,0,2014/6/3,2014/6/29,管線單位需求-既設管線改善,自來水東區,3,忠孝東路6段159巷(合成里),26,4,3,3
121.5270518,25.0509549,0,2014/4/17,2014/8/31,管線單位需求-建設需求,自來水北區,3,承德路1段以東(不含本線)、南京西路18巷以西、南京西路以南(不含本線)、長安西路以北(不含本線)等,136,5,3,3
121.52231,25.13714336,0,2014/6/24,2014/6/24,搶修,自來水陽明,1,泉源路87號燈桿~88號燈桿(林泉里),0,1,3,11
121.5376216,25.06429617,0,2014/6/24,2014/6/26,民生需求-舊有用戶,台電市區,4,農安街77巷9弄23號前至125巷口,2,2,2,2
121.5667668,25.01699007,0,2014/3/29,2014/10/19,管線單位需求-建設需求,自來水工總,3,和平東路3段433號及445號前2處工作井及447號前銜接處,204,5,3,3
121.5861165,25.04371077,0,2014/6/19,2014/6/19,搶修,自來水東區,1,松山路199號旁,0,1,3,11
121.5330135,25.12123026,0,2014/1/13,2014/7/20,管線改善,陽明山瓦斯,3,石牌路2段322號旁至石牌路2段353號旁(永和里)(永欣里),188,5,1,1
121.5442113,24.99433336,0,2013/7/22,2014/6/30,其他,自來水南區,3,"羅斯福路6段以西,景福街以北,羅斯福路6段142巷以南等區塊",343,5,3,3
121.5942091,25.08186024,0,2014/4/21,2014/6/25,管線單位需求-既設管線改善,電信東區,3,內湖路2段179巷48弄4號-15號、16號、46弄25號至224弄口、224弄14-16號、46弄31-35旁、179巷32號至50-3號、46弄7號至21號、46弄39號至49號、48弄24號至28號、48弄22-23號、29-36號、37號及41號附近(共38處),65,4,4,4
121.5197357,25.04279854,0,2014/6/24,2014/6/24,搶修,自來水西區,1,博愛路72號對面(光復里),0,1,3,11
121.5701805,25.05014399,0,2014/6/24,2014/6/26,民生需求-舊有用戶,電信東區,4,南京東路5段147巷與三民路3巷口附近,2,2,4,4
121.5832844,25.04757979,0,2014/6/16,2014/6/16,搶修,自來水東區,1,八德路4段624巷2號旁,0,1,3,11
121.5187499,25.07976398,0,2014/6/2,2014/12/4,管線單位需求-建設需求,台電北區,3,延平北路5段(1號前~224巷口),185,5,2,2
121.5338012,25.02043906,0,2014/6/9,2014/6/13,民生需求-新建房屋,電信南區,4,羅斯福路3段58巷與晉江街口,4,3,4,4
121.5174121,25.11963217,0,2014/6/17,2014/6/20,搶修,衛工處,1,致遠三路147巷2弄5號,3,3,5,13
121.5699286,25.02736656,0,2014/6/16,2014/6/16,搶修,自來水南區,1,吳興街154號旁,0,1,3,11
121.5699286,25.02736656,0,2014/6/16,2014/6/16,搶修,自來水南區,1,吳興街154號旁,0,1,3,11
121.5261811,25.08794986,0,2014/6/24,2014/6/27,搶修,衛工處,1,承德路4段318至330號,3,3,5,13
121.5057205,25.12856995,0,2014/6/18,2014/6/19,民生需求-舊有用戶,電信士林,4,大興街9巷19號15號11號共3處,1,2,4,4
121.5527921,25.02876279,0,2014/6/16,2014/6/18,民生需求-新建房屋,電信南區,4,瑞安街31巷7號,2,2,4,4
121.565236,25.02803272,0,2014/6/19,2014/6/20,民生需求-新建房屋,自來水南區,4,光復南路692巷5號對面工地,1,2,3,3
121.5175594,25.05863212,0,2014/3/8,2014/6/29,市政建設,台電市區,2,涼州街(迪化街1段口至延平北路2段口)及安西街110號前至涼州街口,113,5,2,2
