X,Y
306367.919,2767989.257
302508.504,2778508.722
301451.165,2772611.609
302908.713,2779482.595
302203.627,2768742.689
303601.639,2767436.826
299909.019,2768407.225
303494.052,2771821.144
305127.596,2782683.237
303772.483,2767736.21
303309.07,2771792.39
303309.07,2771792.39
300839.029,2769589.682
305886.978,2769002.891
302143.625,2769215.372
305302.609,2770203.801
302911.593,2771203.794
302586.827,2775031.877
300864.125,2780061.845
302808.32,2772457.599
310631.763,2772551.179
302772.06,2770075.07
309866.48,2770439.33
308081.165,2765817.305
308081.165,2765817.305
308095.77,2765840.642
301561.714,2774652.45
298171.366,2780800.63
303741.827,2769586.713
302339.185,2769341.734
302357.382,2769357.63
301451.165,2772611.609
300431.498,2781349.473
311837.351,2773733.732
311837.351,2773733.732
